trait1	trait2	n_species_overlap	phi	p_value
dark sulfide oxidation	lactate oxidation	113	-0.138129401679497	0.168
photoheterotrophy	chemoheterotrophy	1676	-0.139967693476953	0
nitrite respiration	aerobic chemoheterotrophy	3249	-0.139990502572263	0
gelatin degradation	lactic acid fermentation	3169	-0.140187435220385	0
fermentation	acetate oxidation	1830	-0.140257936302158	0
nitrite denitrification	nitrogen fixation	225	-0.141409906505984	0.057
alcohol fermentation	lactate oxidation	891	-0.14223063656032	0
chemoheterotrophy	sulfur reduction	3750	-0.143761912794553	0
chemoheterotrophy	obligate anaerobes	10874	-0.143774230688923	0
knallgas bacteria	chemoheterotrophy	1260	-0.156951854625404	0
methylotrophy	aromatic compound degradation	86	-0.159596613614504	0.211
methanol oxidation	nitrogen respiration	344	-0.160314831810501	0.003
sulfite respiration	acetate oxidation	1535	-0.160994138801359	0
thiosulfate respiration	acetate oxidation	1628	-0.161334293136663	0
dark sulfur oxidation	anaerobic chemoheterotrophy	391	-0.165633402076734	0.001
methanol oxidation	nitrogen fixation	112	-0.166807219477485	0.095
iron oxidation	facultative anaerobes	93	-0.169714581183224	0.113
sulfate respiration	acetate oxidation	1374	-0.170633147827581	0
aerobic chemoheterotrophy	oxygenic photoautotrophy	9467	-0.176455445150017	0
methanol oxidation	fermentation	535	-0.178844097348777	0
nitrate denitrification	nitrogen fixation	283	-0.182212796983066	0.002
methylotrophy	thiosulfate respiration	221	-0.187676675369518	0.009
dark thiosulfate oxidation	anaerobic chemoheterotrophy	433	-0.187735960607243	0
methylotrophy	nitrite respiration	234	-0.195975409555204	0.002
dark oxidation of sulfur compounds	facultative anaerobes	227	-0.196646820916819	0.001
lactic acid fermentation	acetate oxidation	1213	-0.200488952999199	0
dark sulfide oxidation	facultative anaerobes	145	-0.203108012599889	0.022
methanol oxidation	gelatin degradation	290	-0.206143552918974	0.002
facultative anaerobes	sulfur reduction	2619	-0.219067621765779	0
aerobic chemoheterotrophy	anoxygenic photoautotrophy S oxidizing	1480	-0.219284937590377	0
nitrite ammonification	chemoheterotrophy	2909	-0.219573717285114	0
aerobic chemoheterotrophy	anoxygenic photoautotrophy	1490	-0.222361561593669	0
anoxygenic photoautotrophy	chemoheterotrophy	1684	-0.22283147181699	0
phototrophy	anaerobic chemoheterotrophy	1145	-0.22286382511489	0
dark thiosulfate oxidation	lactate oxidation	167	-0.223533572533661	0.005
methylotrophy	dark oxidation of sulfur compounds	79	-0.225156009656325	0.08
dark oxidation of sulfur compounds	obligate anaerobes	310	-0.226403035952629	0
aerobic chemoheterotrophy	nitrogen respiration	3207	-0.230843401625604	0
anoxygenic photoautotrophy S oxidizing	chemoheterotrophy	1670	-0.230908909621076	0
aerobic chemoheterotrophy	pectin degradation	478	-0.239430566412061	0
aerobic ammonia oxidation	chemoheterotrophy	1302	-0.244707697482806	0
iron oxidation	chemoheterotrophy	125	-0.250622866535529	0.004
dark sulfur oxidation	lactate oxidation	138	-0.254441551132574	0.002
methylotrophy	facultative anaerobes	293	-0.262775179478151	0
methylotrophy	nitrate respiration	279	-0.265032334192951	0
methylotrophy	gelatin degradation	156	-0.270427159478416	0.003
nitrous oxide denitrification	dark oxidation of sulfur compounds	97	-0.272299721869503	0.022
methylotrophy	respiration of sulfur compounds	216	-0.275901429985968	0
nitrate ammonification	chemoheterotrophy	2954	-0.276801363957603	0
fermentation	aerobic chemoheterotrophy	5947	-0.27744847981853	0
methanol oxidation	facultative anaerobes	476	-0.290884441084151	0
dark sulfur oxidation	fermentation	410	-0.29217268951894	0
plastic degradation	facultative anaerobes	115	-0.297559517855952	0
methylotrophy	nitrogen respiration	238	-0.305423509463229	0
aerobic chemoheterotrophy	collagen degradation	104	-0.312652699740361	0.004
nitrification	chemoheterotrophy	1461	-0.3249213510193	0
fermentation	iron oxidation	115	-0.330815284819214	0.001
aerobic chemoheterotrophy	anaerobic chemoheterotrophy	5016	-0.331191287364602	0
dark hydrogen oxidation	facultative anaerobes	665	-0.334207795610898	0
aerobic chemoheterotrophy	phototrophy	1521	-0.337919019322165	0
lactic acid fermentation	aerobic chemoheterotrophy	3556	-0.343280983858574	0
dark thiosulfate oxidation	fermentation	447	-0.367487335875143	0
aerobic chemoheterotrophy	fumarate respiration	3066	-0.374817964369689	0
dark hydrogen oxidation	aerobic chemoheterotrophy	675	-0.38866583461133	0
aerobic chemoheterotrophy	iron respiration	2900	-0.392960735777913	0
aerobic chemoheterotrophy	photoautotrophy	1512	-0.403685391691659	0
dark oxidation of sulfur compounds	photoheterotrophy	196	-0.415835930331381	0
phototrophy	chemoheterotrophy	1702	-0.426225543653896	0
dissimilatory arsenate reduction	obligate anaerobes	83	-0.428360374961829	0
methylotrophy	sulfur reduction	108	-0.452164384231239	0
alcohol fermentation	aerobic chemoheterotrophy	3444	-0.469938106481145	0
dark oxidation of sulfur compounds	fermentation	252	-0.472115148148413	0
oxygenic photoautotrophy	chemoheterotrophy	11867	-0.506721324862765	0
nitrate ammonification	aerobic chemoheterotrophy	2512	-0.510822997894788	0
aerobic chemoheterotrophy	sulfur reduction	3043	-0.527714245286332	0
nitrite ammonification	aerobic chemoheterotrophy	2467	-0.528647817058299	0
photoautotrophy	chemoheterotrophy	1708	-0.531584180078769	0
sulfur respiration	aerobic chemoheterotrophy	3843	-0.549840086874334	0
thiosulfate respiration	aerobic chemoheterotrophy	4627	-0.565297058297695	0
dark sulfide oxidation	photoautotrophy	174	-0.634182861789801	0
methanol oxidation	aromatic compound degradation	110	-0.648933410728418	0
dark sulfide oxidation	phototrophy	175	-0.672548169946621	0
respiration of sulfur compounds	aerobic chemoheterotrophy	4524	-0.675239288582094	0
dark oxidation of sulfur compounds	phototrophy	220	-0.702834074435648	0
dark oxidation of sulfur compounds	photoautotrophy	226	-0.722894014329883	0
methanotrophy	methanogenesis	160		
methanotrophy	methanogenesis by disproportionation of methyl groups	161		
methanotrophy	acetoclastic methanogenesis	161		
methanotrophy	methanogenesis using formate	161		
methanotrophy	methanogenesis by CO2 reduction with H2	160		
methanotrophy	methanogenesis by reduction of methyl compounds with H2	160		
methanotrophy	hydrogenotrophic methanogenesis	160		
methanotrophy	aerobic ammonia oxidation	13		
methanotrophy	aerobic nitrite oxidation	15		
methanotrophy	nitrification	17		
methanotrophy	sulfate respiration	78		
methanotrophy	sulfur respiration	78		
methanotrophy	dark sulfite oxidation	3		
methanotrophy	sulfite respiration	103		
methanotrophy	thiosulfate respiration	104		
methanotrophy	respiration of sulfur compounds	104		
methanotrophy	arsenate detoxification	0		
methanotrophy	arsenate respiration	92		
methanotrophy	dissimilatory arsenate reduction	0		
methanotrophy	arsenite oxidation detoxification	0		
methanotrophy	arsenite oxidation energy yielding	1		
methanotrophy	dissimilatory arsenite oxidation	0		
methanotrophy	anammox	79		
methanotrophy	nitrate denitrification	110		
methanotrophy	nitrous oxide denitrification	96		
methanotrophy	chitinolysis	65		
methanotrophy	knallgas bacteria	14		
methanotrophy	dark hydrogen oxidation	16		
methanotrophy	nitrate ammonification	79		
methanotrophy	nitrite ammonification	79		
methanotrophy	nitrite respiration	101		
methanotrophy	gelatin degradation	94		
methanotrophy	cellulolysis	80		
methanotrophy	xylanolysis	64		
methanotrophy	dark sulfide oxidation	7		
methanotrophy	dark sulfur oxidation	8		
methanotrophy	dark thiosulfate oxidation	14		
methanotrophy	dark oxidation of sulfur compounds	21		
methanotrophy	manganese oxidation	2		
methanotrophy	manganese respiration	91		
methanotrophy	ligninolysis	11		
methanotrophy	fermentation	116		
methanotrophy	lactic acid fermentation	102		
methanotrophy	alcohol fermentation	102		
methanotrophy	invertebrate parasites	0		
methanotrophy	human pathogens septicemia	0		
methanotrophy	human pathogens pneumonia	0		
methanotrophy	human pathogens nosocomia	0		
methanotrophy	human pathogens meningitis	0		
methanotrophy	human pathogens gastroenteritis	1		
methanotrophy	human pathogens diarrhea	0		
methanotrophy	human pathogens all	2		
methanotrophy	fish parasites	0		
methanotrophy	human gut	0		
methanotrophy	human associated	4		
methanotrophy	mammal gut	0		
methanotrophy	animal parasites or symbionts	1		
methanotrophy	plant pathogen	0		
methanotrophy	oil bioremediation	1		
methanotrophy	aromatic hydrocarbon degradation	67		
methanotrophy	aromatic compound degradation	68		
methanotrophy	aliphatic non methane hydrocarbon degradation	68		
methanotrophy	dark iron oxidation	2		
methanotrophy	iron oxidation	2		
methanotrophy	iron respiration	95		
methanotrophy	nitrate respiration	109		
methanotrophy	nitrogen respiration	101		
methanotrophy	fumarate respiration	93		
methanotrophy	intracellular parasites	0		
methanotrophy	chlorate reducers	0		
methanotrophy	predatory or exoparasitic	0		
methanotrophy	anoxygenic photoautotrophy H2 oxidizing	49		
methanotrophy	anoxygenic photoautotrophy S oxidizing	50		
methanotrophy	anoxygenic photoautotrophy Fe oxidizing	49		
methanotrophy	anoxygenic photoautotrophy	50		
methanotrophy	oxygenic photoautotrophy	161		
methanotrophy	photoautotrophy	49		
methanotrophy	aerobic anoxygenic phototrophy	57		
methanotrophy	photoheterotrophy	50		
methanotrophy	phototrophy	47		
methanotrophy	plastic degradation	6		
methanotrophy	reductive acetogenesis	2		
methanotrophy	alginate degradation	65		
methanotrophy	pectin degradation	71		
methanotrophy	collagen degradation	61		
methanotrophy	anaerobic chemoheterotrophy	110		
methanotrophy	obligate anaerobes	151		
methanotrophy	facultative anaerobes	105		
methanotrophy	sulfur reduction	31		
methanogenesis	methanogenesis by reduction of methyl compounds with H2	13294		
methanogenesis	aerobic ammonia oxidation	1442		
methanogenesis	aerobic nitrite oxidation	1635		
methanogenesis	nitrification	1629		
methanogenesis	sulfate respiration	4851		
methanogenesis	sulfur respiration	4858		
methanogenesis	dark sulfite oxidation	397		
methanogenesis	sulfite respiration	5814		
methanogenesis	thiosulfate respiration	6055		
methanogenesis	respiration of sulfur compounds	5925		
methanogenesis	arsenate detoxification	151		
methanogenesis	arsenate respiration	3467		
methanogenesis	dissimilatory arsenate reduction	84		
methanogenesis	arsenite oxidation detoxification	98		
methanogenesis	arsenite oxidation energy yielding	286		
methanogenesis	dissimilatory arsenite oxidation	69		
methanogenesis	anammox	3235		
methanogenesis	nitrate denitrification	6956		
methanogenesis	nitrite denitrification	4268		
methanogenesis	nitrous oxide denitrification	3518		
methanogenesis	chitinolysis	1486		
methanogenesis	knallgas bacteria	1384		
methanogenesis	nitrogen fixation	579		
methanogenesis	nitrate ammonification	3246		
methanogenesis	nitrite ammonification	3199		
methanogenesis	nitrite respiration	4223		
methanogenesis	gelatin degradation	7280		
methanogenesis	cellulolysis	2163		
methanogenesis	xylanolysis	916		
methanogenesis	dark sulfide oxidation	298		
methanogenesis	dark sulfur oxidation	530		
methanogenesis	dark thiosulfate oxidation	609		
methanogenesis	dark oxidation of sulfur compounds	424		
methanogenesis	manganese oxidation	298		
methanogenesis	manganese respiration	3475		
methanogenesis	ligninolysis	68		
methanogenesis	fermentation	8131		
methanogenesis	lactic acid fermentation	4790		
methanogenesis	alcohol fermentation	4428		
methanogenesis	aerobic chemoheterotrophy	9296		
methanogenesis	invertebrate parasites	143		
methanogenesis	human pathogens septicemia	43		
methanogenesis	human pathogens pneumonia	53		
methanogenesis	human pathogens nosocomia	13		
methanogenesis	human pathogens meningitis	34		
methanogenesis	human pathogens gastroenteritis	23		
methanogenesis	human pathogens diarrhea	23		
methanogenesis	human pathogens all	446		
methanogenesis	fish parasites	21		
methanogenesis	human gut	326		
methanogenesis	human associated	1232		
methanogenesis	mammal gut	502		
methanogenesis	animal parasites or symbionts	1167		
methanogenesis	plant pathogen	219		
methanogenesis	oil bioremediation	170		
methanogenesis	aromatic hydrocarbon degradation	379		
methanogenesis	aromatic compound degradation	1071		
methanogenesis	aliphatic non methane hydrocarbon degradation	205		
methanogenesis	hydrocarbon degradation	428		
methanogenesis	dark iron oxidation	192		
methanogenesis	iron oxidation	145		
methanogenesis	iron respiration	3719		
methanogenesis	nitrate respiration	7100		
methanogenesis	nitrate reduction	8380		
methanogenesis	nitrogen respiration	4137		
methanogenesis	fumarate respiration	3897		
methanogenesis	intracellular parasites	135		
methanogenesis	chlorate reducers	22		
methanogenesis	predatory or exoparasitic	19		
methanogenesis	anoxygenic photoautotrophy H2 oxidizing	1786		
methanogenesis	anoxygenic photoautotrophy S oxidizing	1830		
methanogenesis	anoxygenic photoautotrophy Fe oxidizing	1724		
methanogenesis	anoxygenic photoautotrophy	1851		
methanogenesis	oxygenic photoautotrophy	13343		
methanogenesis	photoautotrophy	1910		
methanogenesis	aerobic anoxygenic phototrophy	2885		
methanogenesis	photoheterotrophy	1809		
methanogenesis	phototrophy	1903		
methanogenesis	plastic degradation	285		
methanogenesis	ureolysis	6869		
methanogenesis	reductive acetogenesis	452		
methanogenesis	lactate oxidation	2058		
methanogenesis	alginate degradation	389		
methanogenesis	pectin degradation	574		
methanogenesis	collagen degradation	132		
methanogenesis	facultative anaerobes	6736		
methanogenesis by disproportionation of methyl groups	methanogenesis using formate	13314		
methanogenesis by disproportionation of methyl groups	methanogenesis by CO2 reduction with H2	13314		
methanogenesis by disproportionation of methyl groups	methanogenesis by reduction of methyl compounds with H2	13290		
methanogenesis by disproportionation of methyl groups	hydrogenotrophic methanogenesis	13305		
methanogenesis by disproportionation of methyl groups	aerobic ammonia oxidation	1413		
methanogenesis by disproportionation of methyl groups	aerobic nitrite oxidation	1606		
methanogenesis by disproportionation of methyl groups	nitrification	1600		
methanogenesis by disproportionation of methyl groups	sulfate respiration	4850		
methanogenesis by disproportionation of methyl groups	sulfur respiration	4858		
methanogenesis by disproportionation of methyl groups	dark sulfite oxidation	397		
methanogenesis by disproportionation of methyl groups	sulfite respiration	5813		
methanogenesis by disproportionation of methyl groups	thiosulfate respiration	6054		
methanogenesis by disproportionation of methyl groups	respiration of sulfur compounds	5926		
methanogenesis by disproportionation of methyl groups	arsenate detoxification	151		
methanogenesis by disproportionation of methyl groups	arsenate respiration	3467		
methanogenesis by disproportionation of methyl groups	dissimilatory arsenate reduction	84		
methanogenesis by disproportionation of methyl groups	arsenite oxidation detoxification	98		
methanogenesis by disproportionation of methyl groups	arsenite oxidation energy yielding	286		
methanogenesis by disproportionation of methyl groups	dissimilatory arsenite oxidation	69		
methanogenesis by disproportionation of methyl groups	anammox	3235		
methanogenesis by disproportionation of methyl groups	nitrate denitrification	6955		
methanogenesis by disproportionation of methyl groups	nitrite denitrification	4267		
methanogenesis by disproportionation of methyl groups	nitrous oxide denitrification	3518		
methanogenesis by disproportionation of methyl groups	chitinolysis	1487		
methanogenesis by disproportionation of methyl groups	knallgas bacteria	1356		
methanogenesis by disproportionation of methyl groups	dark hydrogen oxidation	804		
methanogenesis by disproportionation of methyl groups	nitrogen fixation	578		
methanogenesis by disproportionation of methyl groups	nitrate ammonification	3246		
methanogenesis by disproportionation of methyl groups	nitrite ammonification	3199		
methanogenesis by disproportionation of methyl groups	nitrite respiration	4222		
methanogenesis by disproportionation of methyl groups	gelatin degradation	7280		
methanogenesis by disproportionation of methyl groups	cellulolysis	2164		
methanogenesis by disproportionation of methyl groups	xylanolysis	917		
methanogenesis by disproportionation of methyl groups	dark sulfide oxidation	298		
methanogenesis by disproportionation of methyl groups	dark sulfur oxidation	531		
methanogenesis by disproportionation of methyl groups	dark thiosulfate oxidation	609		
methanogenesis by disproportionation of methyl groups	dark oxidation of sulfur compounds	425		
methanogenesis by disproportionation of methyl groups	manganese oxidation	298		
methanogenesis by disproportionation of methyl groups	manganese respiration	3475		
methanogenesis by disproportionation of methyl groups	ligninolysis	69		
methanogenesis by disproportionation of methyl groups	fermentation	8129		
methanogenesis by disproportionation of methyl groups	lactic acid fermentation	4788		
methanogenesis by disproportionation of methyl groups	alcohol fermentation	4426		
methanogenesis by disproportionation of methyl groups	aerobic chemoheterotrophy	9267		
methanogenesis by disproportionation of methyl groups	invertebrate parasites	143		
methanogenesis by disproportionation of methyl groups	human pathogens septicemia	43		
methanogenesis by disproportionation of methyl groups	human pathogens pneumonia	53		
methanogenesis by disproportionation of methyl groups	human pathogens nosocomia	13		
methanogenesis by disproportionation of methyl groups	human pathogens meningitis	34		
methanogenesis by disproportionation of methyl groups	human pathogens gastroenteritis	23		
methanogenesis by disproportionation of methyl groups	human pathogens diarrhea	23		
methanogenesis by disproportionation of methyl groups	human pathogens all	446		
methanogenesis by disproportionation of methyl groups	fish parasites	21		
methanogenesis by disproportionation of methyl groups	human gut	325		
methanogenesis by disproportionation of methyl groups	human associated	1228		
methanogenesis by disproportionation of methyl groups	mammal gut	501		
methanogenesis by disproportionation of methyl groups	animal parasites or symbionts	1166		
methanogenesis by disproportionation of methyl groups	plant pathogen	219		
methanogenesis by disproportionation of methyl groups	oil bioremediation	169		
methanogenesis by disproportionation of methyl groups	aromatic hydrocarbon degradation	379		
methanogenesis by disproportionation of methyl groups	aromatic compound degradation	1071		
methanogenesis by disproportionation of methyl groups	aliphatic non methane hydrocarbon degradation	205		
methanogenesis by disproportionation of methyl groups	hydrocarbon degradation	428		
methanogenesis by disproportionation of methyl groups	dark iron oxidation	192		
methanogenesis by disproportionation of methyl groups	iron oxidation	145		
methanogenesis by disproportionation of methyl groups	iron respiration	3718		
methanogenesis by disproportionation of methyl groups	nitrate respiration	7099		
methanogenesis by disproportionation of methyl groups	nitrate reduction	8380		
methanogenesis by disproportionation of methyl groups	nitrogen respiration	4137		
methanogenesis by disproportionation of methyl groups	fumarate respiration	3897		
methanogenesis by disproportionation of methyl groups	intracellular parasites	135		
methanogenesis by disproportionation of methyl groups	chlorate reducers	22		
methanogenesis by disproportionation of methyl groups	predatory or exoparasitic	19		
methanogenesis by disproportionation of methyl groups	anoxygenic photoautotrophy H2 oxidizing	1780		
methanogenesis by disproportionation of methyl groups	anoxygenic photoautotrophy S oxidizing	1827		
methanogenesis by disproportionation of methyl groups	anoxygenic photoautotrophy Fe oxidizing	1721		
methanogenesis by disproportionation of methyl groups	anoxygenic photoautotrophy	1844		
methanogenesis by disproportionation of methyl groups	oxygenic photoautotrophy	13314		
methanogenesis by disproportionation of methyl groups	photoautotrophy	1903		
methanogenesis by disproportionation of methyl groups	aerobic anoxygenic phototrophy	2857		
methanogenesis by disproportionation of methyl groups	photoheterotrophy	1803		
methanogenesis by disproportionation of methyl groups	phototrophy	1897		
methanogenesis by disproportionation of methyl groups	plastic degradation	284		
methanogenesis by disproportionation of methyl groups	ureolysis	6869		
methanogenesis by disproportionation of methyl groups	reductive acetogenesis	451		
methanogenesis by disproportionation of methyl groups	lactate oxidation	2055		
methanogenesis by disproportionation of methyl groups	alginate degradation	389		
methanogenesis by disproportionation of methyl groups	pectin degradation	574		
methanogenesis by disproportionation of methyl groups	collagen degradation	132		
methanogenesis by disproportionation of methyl groups	anaerobic chemoheterotrophy	5946		
methanogenesis by disproportionation of methyl groups	facultative anaerobes	6707		
methanogenesis by disproportionation of methyl groups	sulfur reduction	3997		
acetoclastic methanogenesis	methanogenesis using formate	13321		
acetoclastic methanogenesis	methanogenesis by reduction of methyl compounds with H2	13292		
acetoclastic methanogenesis	hydrogenotrophic methanogenesis	13312		
acetoclastic methanogenesis	aerobic ammonia oxidation	1420		
acetoclastic methanogenesis	aerobic nitrite oxidation	1613		
acetoclastic methanogenesis	nitrification	1607		
acetoclastic methanogenesis	sulfate respiration	4850		
acetoclastic methanogenesis	sulfur respiration	4858		
acetoclastic methanogenesis	dark sulfite oxidation	397		
acetoclastic methanogenesis	sulfite respiration	5813		
acetoclastic methanogenesis	thiosulfate respiration	6054		
acetoclastic methanogenesis	respiration of sulfur compounds	5926		
acetoclastic methanogenesis	arsenate detoxification	151		
acetoclastic methanogenesis	arsenate respiration	3467		
acetoclastic methanogenesis	dissimilatory arsenate reduction	84		
acetoclastic methanogenesis	arsenite oxidation detoxification	98		
acetoclastic methanogenesis	arsenite oxidation energy yielding	286		
acetoclastic methanogenesis	dissimilatory arsenite oxidation	69		
acetoclastic methanogenesis	anammox	3235		
acetoclastic methanogenesis	nitrate denitrification	6955		
acetoclastic methanogenesis	nitrite denitrification	4267		
acetoclastic methanogenesis	nitrous oxide denitrification	3518		
acetoclastic methanogenesis	chitinolysis	1487		
acetoclastic methanogenesis	knallgas bacteria	1363		
acetoclastic methanogenesis	dark hydrogen oxidation	804		
acetoclastic methanogenesis	nitrogen fixation	578		
acetoclastic methanogenesis	nitrate ammonification	3246		
acetoclastic methanogenesis	nitrite ammonification	3199		
acetoclastic methanogenesis	nitrite respiration	4222		
acetoclastic methanogenesis	gelatin degradation	7280		
acetoclastic methanogenesis	cellulolysis	2164		
acetoclastic methanogenesis	xylanolysis	917		
acetoclastic methanogenesis	dark sulfide oxidation	298		
acetoclastic methanogenesis	dark sulfur oxidation	531		
acetoclastic methanogenesis	dark thiosulfate oxidation	609		
acetoclastic methanogenesis	dark oxidation of sulfur compounds	425		
acetoclastic methanogenesis	manganese oxidation	298		
acetoclastic methanogenesis	manganese respiration	3475		
acetoclastic methanogenesis	ligninolysis	69		
acetoclastic methanogenesis	fermentation	8130		
acetoclastic methanogenesis	lactic acid fermentation	4789		
acetoclastic methanogenesis	alcohol fermentation	4427		
acetoclastic methanogenesis	aerobic chemoheterotrophy	9274		
acetoclastic methanogenesis	invertebrate parasites	143		
acetoclastic methanogenesis	human pathogens septicemia	43		
acetoclastic methanogenesis	human pathogens pneumonia	53		
acetoclastic methanogenesis	human pathogens nosocomia	13		
acetoclastic methanogenesis	human pathogens meningitis	34		
acetoclastic methanogenesis	human pathogens gastroenteritis	23		
acetoclastic methanogenesis	human pathogens diarrhea	23		
acetoclastic methanogenesis	human pathogens all	446		
acetoclastic methanogenesis	fish parasites	21		
acetoclastic methanogenesis	human gut	325		
acetoclastic methanogenesis	human associated	1228		
acetoclastic methanogenesis	mammal gut	501		
acetoclastic methanogenesis	animal parasites or symbionts	1166		
acetoclastic methanogenesis	plant pathogen	219		
acetoclastic methanogenesis	oil bioremediation	169		
acetoclastic methanogenesis	aromatic hydrocarbon degradation	379		
acetoclastic methanogenesis	aromatic compound degradation	1071		
acetoclastic methanogenesis	aliphatic non methane hydrocarbon degradation	205		
acetoclastic methanogenesis	hydrocarbon degradation	428		
acetoclastic methanogenesis	dark iron oxidation	192		
acetoclastic methanogenesis	iron oxidation	145		
acetoclastic methanogenesis	iron respiration	3718		
acetoclastic methanogenesis	nitrate respiration	7099		
acetoclastic methanogenesis	nitrate reduction	8380		
acetoclastic methanogenesis	nitrogen respiration	4137		
acetoclastic methanogenesis	fumarate respiration	3897		
acetoclastic methanogenesis	intracellular parasites	135		
acetoclastic methanogenesis	chlorate reducers	22		
acetoclastic methanogenesis	predatory or exoparasitic	19		
acetoclastic methanogenesis	anoxygenic photoautotrophy H2 oxidizing	1781		
acetoclastic methanogenesis	anoxygenic photoautotrophy S oxidizing	1828		
acetoclastic methanogenesis	anoxygenic photoautotrophy Fe oxidizing	1722		
acetoclastic methanogenesis	anoxygenic photoautotrophy	1845		
acetoclastic methanogenesis	oxygenic photoautotrophy	13321		
acetoclastic methanogenesis	photoautotrophy	1904		
acetoclastic methanogenesis	aerobic anoxygenic phototrophy	2864		
acetoclastic methanogenesis	photoheterotrophy	1804		
acetoclastic methanogenesis	phototrophy	1898		
acetoclastic methanogenesis	plastic degradation	285		
acetoclastic methanogenesis	ureolysis	6869		
acetoclastic methanogenesis	reductive acetogenesis	451		
acetoclastic methanogenesis	lactate oxidation	2056		
acetoclastic methanogenesis	alginate degradation	389		
acetoclastic methanogenesis	pectin degradation	574		
acetoclastic methanogenesis	collagen degradation	132		
acetoclastic methanogenesis	anaerobic chemoheterotrophy	5953		
acetoclastic methanogenesis	facultative anaerobes	6714		
acetoclastic methanogenesis	sulfur reduction	3998		
methanogenesis using formate	methanogenesis by reduction of methyl compounds with H2	13293		
methanogenesis using formate	methanol oxidation	716		
methanogenesis using formate	methylotrophy	449		
methanogenesis using formate	aerobic ammonia oxidation	1437		
methanogenesis using formate	aerobic nitrite oxidation	1630		
methanogenesis using formate	nitrification	1624		
methanogenesis using formate	sulfate respiration	4850		
methanogenesis using formate	sulfur respiration	4858		
methanogenesis using formate	dark sulfite oxidation	397		
methanogenesis using formate	sulfite respiration	5813		
methanogenesis using formate	thiosulfate respiration	6054		
methanogenesis using formate	respiration of sulfur compounds	5926		
methanogenesis using formate	arsenate detoxification	151		
methanogenesis using formate	arsenate respiration	3467		
methanogenesis using formate	dissimilatory arsenate reduction	84		
methanogenesis using formate	arsenite oxidation detoxification	98		
methanogenesis using formate	arsenite oxidation energy yielding	286		
methanogenesis using formate	dissimilatory arsenite oxidation	69		
methanogenesis using formate	anammox	3235		
methanogenesis using formate	nitrate denitrification	6955		
methanogenesis using formate	nitrite denitrification	4267		
methanogenesis using formate	nitrous oxide denitrification	3518		
methanogenesis using formate	chitinolysis	1487		
methanogenesis using formate	knallgas bacteria	1380		
methanogenesis using formate	nitrogen fixation	578		
methanogenesis using formate	nitrate ammonification	3246		
methanogenesis using formate	nitrite ammonification	3199		
methanogenesis using formate	nitrite respiration	4222		
methanogenesis using formate	gelatin degradation	7280		
methanogenesis using formate	cellulolysis	2164		
methanogenesis using formate	xylanolysis	917		
methanogenesis using formate	dark sulfide oxidation	298		
methanogenesis using formate	dark sulfur oxidation	531		
methanogenesis using formate	dark thiosulfate oxidation	609		
methanogenesis using formate	dark oxidation of sulfur compounds	425		
methanogenesis using formate	manganese oxidation	298		
methanogenesis using formate	manganese respiration	3475		
methanogenesis using formate	ligninolysis	69		
methanogenesis using formate	fermentation	8132		
methanogenesis using formate	lactic acid fermentation	4791		
methanogenesis using formate	alcohol fermentation	4429		
methanogenesis using formate	aerobic chemoheterotrophy	9291		
methanogenesis using formate	invertebrate parasites	143		
methanogenesis using formate	human pathogens septicemia	43		
methanogenesis using formate	human pathogens pneumonia	53		
methanogenesis using formate	human pathogens nosocomia	13		
methanogenesis using formate	human pathogens meningitis	34		
methanogenesis using formate	human pathogens gastroenteritis	23		
methanogenesis using formate	human pathogens diarrhea	23		
methanogenesis using formate	human pathogens all	446		
methanogenesis using formate	fish parasites	21		
methanogenesis using formate	human gut	326		
methanogenesis using formate	human associated	1232		
methanogenesis using formate	mammal gut	502		
methanogenesis using formate	animal parasites or symbionts	1167		
methanogenesis using formate	plant pathogen	219		
methanogenesis using formate	oil bioremediation	169		
methanogenesis using formate	aromatic hydrocarbon degradation	379		
methanogenesis using formate	aromatic compound degradation	1071		
methanogenesis using formate	aliphatic non methane hydrocarbon degradation	205		
methanogenesis using formate	hydrocarbon degradation	428		
methanogenesis using formate	dark iron oxidation	192		
methanogenesis using formate	iron oxidation	145		
methanogenesis using formate	iron respiration	3718		
methanogenesis using formate	nitrate respiration	7099		
methanogenesis using formate	nitrate reduction	8380		
methanogenesis using formate	nitrogen respiration	4137		
methanogenesis using formate	fumarate respiration	3897		
methanogenesis using formate	intracellular parasites	135		
methanogenesis using formate	chlorate reducers	22		
methanogenesis using formate	predatory or exoparasitic	19		
methanogenesis using formate	anoxygenic photoautotrophy H2 oxidizing	1783		
methanogenesis using formate	anoxygenic photoautotrophy S oxidizing	1830		
methanogenesis using formate	anoxygenic photoautotrophy Fe oxidizing	1724		
methanogenesis using formate	anoxygenic photoautotrophy	1848		
methanogenesis using formate	oxygenic photoautotrophy	13338		
methanogenesis using formate	photoautotrophy	1907		
methanogenesis using formate	aerobic anoxygenic phototrophy	2880		
methanogenesis using formate	photoheterotrophy	1809		
methanogenesis using formate	phototrophy	1900		
methanogenesis using formate	plastic degradation	285		
methanogenesis using formate	ureolysis	6869		
methanogenesis using formate	reductive acetogenesis	451		
methanogenesis using formate	lactate oxidation	2058		
methanogenesis using formate	alginate degradation	389		
methanogenesis using formate	pectin degradation	574		
methanogenesis using formate	collagen degradation	132		
methanogenesis using formate	facultative anaerobes	6731		
methanogenesis using formate	sulfur reduction	4005		
